acquisition_seed,strategy,round,dataset_type,image_name,sample_id,rank_in_selection,min_cosine_distance_to_labeled_before_selection,num_reference_labeled_before_selection
43,GTFreeDatasetBalancedVisualDiversity,4,GC10-DET,img_02_3436789500_00005.jpg,5cd00d5a6c1ef72083cc18c221bd9e8810f2c9f81344222d687ea8aafea98fe6,1,0.3529623746871948,30
43,GTFreeDatasetBalancedVisualDiversity,4,GC10-DET,img_01_425382900_00002.jpg,967af2c1381591479c095347c0421ad2751eaba7397d14229eee5a589b79748c,2,0.37755870819091797,30
43,GTFreeDatasetBalancedVisualDiversity,4,NEU-DET,crazing_219.jpg,a39d4d10837d9ffc5f81ebb56868d1576c65772e45bb2652a01bd44fbe65c248,3,0.2969995141029358,30
43,GTFreeDatasetBalancedVisualDiversity,4,GC10-DET,img_05_4403831800_00930.jpg,dccfd6d97fdacbccfe74f38ee3a475d13988146885a0c2517a0c41a984b1dd1c,4,0.39332228899002075,30
43,GTFreeDatasetBalancedVisualDiversity,4,NEU-DET,scratches_184.jpg,fdea6e377619e0dac2455ceb42bd32fca131e2e82641e18461f498c58c582ca1,5,0.29200953245162964,30
43,GTFreeRandom,1,GC10-DET,img_07_4405381400_00773.jpg,4a4b401c43dc80320554bdeb7644c970fdb9e5eb74f6ae9da2a4114b9287956c,1,0.16545873880386353,15
43,GTFreeRandom,1,GC10-DET,img_05_4405381400_00774.jpg,5613db10f3f8623bc3b82962a11bb2244d022ede6d414c8d97300fb235e807f4,2,0.22833704948425293,15
43,GTFreeRandom,1,GC10-DET,img_06_3436642500_00002.jpg,5ff33e9f33908e878836d877c303ac462a40d7c83a35837ae493e136bd5d2392,3,0.19193434715270996,15
43,GTFreeRandom,1,NEU-DET,patches_228.jpg,d78d7eef3504015dd331c8bcc580dd3e3bb12b22130265f8d55f8e228b0b8f30,4,0.1352163553237915,15
43,GTFreeRandom,1,GC10-DET,img_02_4406783500_00008.jpg,ff661475c560fe021a0d596a4b23e277fdb8ceb46fd1e69bd5f60cf356dbfae7,5,0.21512222290039062,15
43,GTFreeRandom,2,NEU-DET,crazing_225.jpg,089bfecb9772dc1d7d7a3a7bdb1b96f52a0742d2d54e8419cbd178247f198a5a,1,0.32976043224334717,20
43,GTFreeRandom,2,GC10-DET,img_01_4402117200_00003.jpg,34b38bf2c6dcd0949c9841e3d6e7c27161e53c973bd3fab66dd139bc62163391,2,0.396024227142334,20
